,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2014,2426250.0,-4188000.0,,
June 2014,2426250.0,-4188000.0,,
September 2014,2426250.0,-4188000.0,,
December 2014,2426250.0,-4188000.0,,
March 2015,4017000.0,-4254000.0,,
June 2015,4017000.0,-6538000.0,,
September 2015,4904000.0,-6735000.0,,
December 2015,5278000.0,-7207000.0,286750000.0,48487000.0
March 2016,5272000.0,-9335000.0,,
June 2016,5193000.0,-7541000.0,,
September 2016,5087000.0,-6619000.0,331235000.0,68032000.0
December 2016,5573000.0,-15664000.0,420437000.0,163823000.0
March 2017,5948000.0,-9010000.0,416235000.0,162515000.0
June 2017,6009000.0,-9126000.0,417992000.0,167548000.0
September 2017,5883000.0,-13092000.0,422123000.0,172743000.0
December 2017,6034000.0,-5845000.0,460813000.0,188454000.0
March 2018,6929000.0,-7155000.0,458515000.0,186676000.0
June 2018,7811000.0,-8457000.0,464440000.0,192533000.0
September 2018,7261000.0,-4460000.0,474694000.0,204493000.0
December 2018,8753000.0,-7732000.0,493868000.0,221521000.0
March 2019,10307000.0,-8583000.0,504953000.0,219339000.0
June 2019,10829000.0,-5225000.0,523502000.0,235782000.0
September 2019,11558000.0,-9206000.0,975639000.0,689260000.0
December 2019,10312000.0,-9186000.0,1014552000.0,723406000.0
March 2020,11747000.0,-12843000.0,1011374000.0,720596000.0
June 2020,11847000.0,-8332000.0,1033250000.0,739913000.0
September 2020,14829000.0,-8751000.0,1046765000.0,753997000.0
December 2020,18041000.0,-16985000.0,1113505000.0,674115000.0
March 2021,18973000.0,-38964000.0,1708797000.0,1267491000.0
June 2021,18795000.0,-25446000.0,1732067000.0,1287358000.0
September 2021,18843000.0,-13741000.0,1750392000.0,1301433000.0
December 2021,20711000.0,-37010000.0,1817578000.0,1347688000.0
March 2022,25248000.0,-10011000.0,1870230000.0,1171476000.0
June 2022,27902000.0,-10665000.0,1873573000.0,1171522000.0
