,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
December 2017,1625000.0,36172000.0,12465000.0,,
March 2018,1625000.0,36172000.0,9072000.0,,
June 2018,1625000.0,36172000.0,-10228000.0,,
September 2018,1625000.0,36172000.0,-4564000.0,1779180000.0,
December 2018,1900000.0,43401500.0,-19271000.0,,
March 2019,1900000.0,43401500.0,-1516000.0,,
June 2019,2100000.0,50185000.0,1511000.0,,
September 2019,2100000.0,46584000.0,-920000.0,1788263000.0,290590000.0
December 2019,2100000.0,43473000.0,-9846000.0,,
March 2020,1900000.0,49693000.0,4088000.0,,
June 2020,1700000.0,65164000.0,-52116000.0,1930322000.0,436540000.0
September 2020,2000000.0,149945000.0,-64359000.0,1931856000.0,424695000.0
December 2020,1800000.0,53448000.0,10183000.0,1940904000.0,428992000.0
March 2021,1700000.0,59897000.0,22640000.0,1990401000.0,457780000.0
June 2021,1900000.0,70300000.0,21769000.0,2043975000.0,494146000.0
September 2021,2000000.0,60560000.0,38593000.0,2187834000.0,532398000.0
December 2021,2000000.0,63169000.0,16707000.0,2215106000.0,437019000.0
March 2022,2300000.0,70822000.0,35818000.0,2319480000.0,520851000.0
June 2022,2600000.0,78737000.0,27476000.0,2420548000.0,606500000.0
