,NetIncomeLoss,Assets,AssetsCurrent
March 2009,10900000.0,,
June 2009,10900000.0,,
September 2009,21300000.0,,
December 2009,15900000.0,2534700000.0,11200000.0
March 2010,-5600000.0,,
June 2010,48400000.0,,
September 2010,8800000.0,2649600000.0,6500000.0
December 2010,22800000.0,2683800000.0,10500000.0
March 2011,9900000.0,2671900000.0,12200000.0
June 2011,-13000000.0,,
September 2011,-15000000.0,2716200000.0,14200000.0
December 2011,31000000.0,2732300000.0,9900000.0
March 2012,-24000000.0,2695000000.0,11000000.0
June 2012,-36000000.0,2681000000.0,10000000.0
September 2012,-3000000.0,3435000000.0,13000000.0
December 2012,43000000.0,3476000000.0,12000000.0
March 2013,69000000.0,3566000000.0,16000000.0
June 2013,75000000.0,3796000000.0,15000000.0
September 2013,47000000.0,3938000000.0,16000000.0
December 2013,67000000.0,4092000000.0,11000000.0
March 2014,51000000.0,4165000000.0,15000000.0
June 2014,38000000.0,4304000000.0,13000000.0
September 2014,92000000.0,4490000000.0,15000000.0
