,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
December 2008,186450000.0,83300000.0,37300000.0,
March 2009,186450000.0,83300000.0,37300000.0,
June 2009,186450000.0,83300000.0,37300000.0,
September 2009,186450000.0,83300000.0,37300000.0,
December 2009,168750000.0,92750000.0,66650000.0,
March 2010,168750000.0,92750000.0,66650000.0,
June 2010,184600000.0,107700000.0,89400000.0,
September 2010,148700000.0,76700000.0,96700000.0,
December 2010,134200000.0,73200000.0,83800000.0,
March 2011,142800000.0,82100000.0,85900000.0,
June 2011,147600000.0,86600000.0,100500000.0,
September 2011,145900000.0,90900000.0,93400000.0,
December 2011,138800000.0,79500000.0,93300000.0,
March 2012,158800000.0,88800000.0,78300000.0,
June 2012,159100000.0,84700000.0,98500000.0,
September 2012,163200000.0,86300000.0,112600000.0,
December 2012,165700000.0,88100000.0,105000000.0,
March 2013,166900000.0,97100000.0,105900000.0,
June 2013,170000000.0,88900000.0,124700000.0,
September 2013,186900000.0,103200000.0,132900000.0,
December 2013,183500000.0,95200000.0,136500000.0,
March 2014,196700000.0,103100000.0,124300000.0,
June 2014,218100000.0,104500000.0,129200000.0,
September 2014,213500000.0,107800000.0,154200000.0,
December 2014,202300000.0,96400000.0,133600000.0,
March 2015,214100000.0,85600000.0,115900000.0,
June 2015,216700000.0,84400000.0,126900000.0,
September 2015,239800000.0,108300000.0,121800000.0,
December 2015,249700000.0,101800000.0,99900000.0,
March 2016,312600000.0,143100000.0,69600000.0,
June 2016,287400000.0,102100000.0,90400000.0,
September 2016,302200000.0,119900000.0,81700000.0,
December 2016,299900000.0,122600000.0,74200000.0,
March 2017,316000000.0,115300000.0,64500000.0,
June 2017,304000000.0,87600000.0,88300000.0,
September 2017,287200000.0,97000000.0,101400000.0,
December 2017,289400000.0,103100000.0,399400000.0,
March 2018,311800000.0,111200000.0,119200000.0,
June 2018,315300000.0,92400000.0,120200000.0,
September 2018,298600000.0,95400000.0,160400000.0,
December 2018,289200000.0,98200000.0,121700000.0,
March 2019,331500000.0,112500000.0,84300000.0,
June 2019,329200000.0,102600000.0,144800000.0,
September 2019,439600000.0,219700000.0,68400000.0,
December 2019,374000000.0,123500000.0,99200000.0,
March 2020,452700000.0,142400000.0,25900000.0,
June 2020,344600000.0,92000000.0,146200000.0,
September 2020,335400000.0,112700000.0,153700000.0,
December 2020,318200000.0,92500000.0,166700000.0,
March 2021,314700000.0,106300000.0,177200000.0,
June 2021,342100000.0,105500000.0,185700000.0,
September 2021,331800000.0,101700000.0,181000000.0,
December 2021,303700000.0,96400000.0,189600000.0,
March 2022,393800000.0,115200000.0,158600000.0,
June 2022,318600000.0,106700000.0,172500000.0,
