,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2009,1138500.0,1651250.0,
June 2009,1138500.0,1651250.0,
September 2009,1138500.0,1651250.0,
December 2009,1138500.0,1651250.0,
March 2010,1160000.0,1256000.0,
June 2010,1122000.0,1341000.0,
September 2010,1111000.0,2197000.0,
December 2010,948000.0,2187000.0,906363000.0
March 2011,1028000.0,1981000.0,
June 2011,1392000.0,1567000.0,903432000.0
September 2011,1074000.0,2081000.0,907722000.0
December 2011,671000.0,2885000.0,922993000.0
March 2012,1158000.0,2284000.0,944783000.0
June 2012,1292000.0,2538000.0,944056000.0
September 2012,1240000.0,2441000.0,920979000.0
December 2012,1419000.0,2525000.0,946660000.0
March 2013,1345000.0,2152000.0,949160000.0
June 2013,1438000.0,2502000.0,922333000.0
September 2013,1382000.0,2065000.0,928158000.0
December 2013,1394000.0,2287000.0,965938000.0
March 2014,1466000.0,1958000.0,964667000.0
June 2014,1444000.0,2554000.0,948228000.0
September 2014,1495000.0,2474000.0,925241000.0
December 2014,1615000.0,2661000.0,941213000.0
March 2015,1348000.0,2351000.0,951395000.0
June 2015,1451000.0,2597000.0,942563000.0
September 2015,1475000.0,2620000.0,957522000.0
December 2015,1398000.0,2772000.0,989068000.0
March 2016,1614000.0,2481000.0,1009068000.0
June 2016,1507000.0,2974000.0,1021275000.0
September 2016,1473000.0,3015000.0,1044447000.0
December 2016,1517000.0,3194000.0,1055895000.0
March 2017,1560000.0,2839000.0,1067551000.0
June 2017,1587000.0,3223000.0,1066175000.0
September 2017,1545000.0,3222000.0,1090155000.0
December 2017,1619000.0,3436000.0,1107009000.0
March 2018,1043000.0,3767000.0,1123742000.0
June 2018,1093000.0,4114000.0,1105332000.0
September 2018,1304000.0,3875000.0,1108012000.0
December 2018,804000.0,3193000.0,1116163000.0
March 2019,1679000.0,3224000.0,1465661000.0
June 2019,1551000.0,6180000.0,1530547000.0
September 2019,1667000.0,4275000.0,1574880000.0
December 2019,1482000.0,4723000.0,1607330000.0
March 2020,1602000.0,4105000.0,1655125000.0
June 2020,1639000.0,4804000.0,1784447000.0
September 2020,1786000.0,4410000.0,1826600000.0
December 2020,1071000.0,6776000.0,1909544000.0
March 2021,2033000.0,4909000.0,1993285000.0
June 2021,2227000.0,4983000.0,2166865000.0
September 2021,1951000.0,5920000.0,2218983000.0
December 2021,1964000.0,7683000.0,2638300000.0
March 2022,2179000.0,8102000.0,2686145000.0
June 2022,2242000.0,8271000.0,2674716000.0
