,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2019,4083000.0,2390750.0,-4038750.0,,
June 2019,4083000.0,2390750.0,-4038750.0,,
September 2019,4083000.0,2390750.0,-4038750.0,,
December 2019,4083000.0,2390750.0,-4038750.0,14877000.0,9477000.0
March 2020,4072000.0,3202000.0,-3941000.0,,
June 2020,4570000.0,3554000.0,-5819000.0,,
September 2020,5789000.0,3994000.0,-10295000.0,,
December 2020,5989000.0,4454000.0,778000.0,68243000.0,62989000.0
March 2021,11908000.0,6275000.0,-39756000.0,58531000.0,53343000.0
June 2021,13976000.0,6472000.0,-3351000.0,73284000.0,68158000.0
September 2021,10560000.0,6146000.0,28944000.0,73037000.0,65393000.0
December 2021,14257000.0,9523000.0,4423000.0,63063000.0,54583000.0
March 2022,13366000.0,8580000.0,-13354000.0,53361000.0,42449000.0
June 2022,13630000.0,9166000.0,-4534000.0,44542000.0,31587000.0
