,OperatingExpenses,Assets
March 2014,0.0,
June 2014,412853.0,
September 2014,723462.0,
December 2014,748758.0,24967883.0
March 2015,1592434.0,40474372.0
June 2015,,39830768.0
September 2015,,38245609.0
December 2015,,69929708.0
March 2016,,81609544.0
June 2016,,89267436.0
September 2016,,96832527.0
December 2016,,93937975.0
March 2017,,208646680.0
June 2017,,241946944.0
September 2017,,239813356.0
December 2017,,239929758.0
March 2018,,234507536.0
June 2018,,241219672.0
September 2018,,238744685.0
