,NetIncomeLoss,Assets,AssetsCurrent
December 2008,-1603835.25,,
March 2009,-1603835.25,,
June 2009,-1603835.25,,
September 2009,-1603835.25,,
December 2009,2533836.5,,
March 2010,2533836.5,,
June 2010,-1344994.0,,
September 2010,639779.0,65898900.0,15293564.0
December 2010,-431480.0,,
March 2011,2212358.0,,
June 2011,-3718900.0,63485949.0,17138011.0
September 2011,2838071.0,61198788.0,15275128.0
December 2011,2506238.0,62045365.0,17923982.0
March 2012,-1709609.0,58974672.0,16822088.0
June 2012,-6554198.0,56092239.0,15871350.0
September 2012,-899199.0,54001124.0,15748423.0
December 2012,-3723037.0,51184002.0,14906338.0
March 2013,-1816135.0,49622126.0,15273781.0
June 2013,-2009175.0,46135347.0,13760199.0
September 2013,336155.0,44998730.0,13336559.0
December 2013,-268807.0,46886690.0,15168245.0
March 2014,4274431.0,49033697.0,16965024.0
June 2014,7795526.0,57851384.0,26114592.0
September 2014,6225378.0,62747637.0,30109666.0
December 2014,1723899.0,53265831.0,18107468.0
March 2015,-255856.0,50468243.0,13671797.0
June 2015,598806.0,51108016.0,12639629.0
September 2015,584715.0,49065346.0,10588093.0
December 2015,-1364708.0,48650810.0,10512313.0
March 2016,-2725368.0,45438755.0,8666272.0
June 2016,1078340.0,47034249.0,11070077.0
September 2016,1371340.0,51173323.0,10409169.0
December 2016,2417530.0,47648024.0,11691108.0
March 2017,299746.0,48104077.0,9177109.0
June 2017,-960823.0,49487789.0,9428506.0
September 2017,2747395.0,51173323.0,10409169.0
December 2017,-947021.0,53639192.0,9243494.0
March 2018,-393169.0,58716929.0,11125010.0
June 2018,322504.0,58405450.0,9153322.0
September 2018,-1929529.0,58403472.0,8857820.0
December 2018,-1836126.0,60790765.0,10727661.0
March 2019,-1430642.0,61507900.0,16432627.0
June 2019,-7394842.0,53945200.0,9925571.0
September 2019,-2587196.0,53713992.0,10458220.0
December 2019,-24218.0,58412847.0,9741493.0
March 2020,-3129698.0,60113205.0,12678597.0
June 2020,303248.0,62306165.0,16310973.0
September 2020,3170644.0,65810902.0,19653942.0
December 2020,-1093226.0,65115703.0,20326857.0
March 2021,1960778.0,65176187.0,21741001.0
June 2021,4295821.0,69967922.0,27430247.0
September 2021,1485848.0,72859336.0,29432521.0
December 2021,8088928.0,85656059.0,42090563.0
March 2022,6162868.0,79619118.0,36547865.0
