,NetIncomeLoss,Assets
March 2010,-395000.0,
June 2010,195000.0,
September 2010,342000.0,
December 2010,701000.0,174369000.0
March 2011,145000.0,
June 2011,197000.0,172598000.0
September 2011,364000.0,176416000.0
December 2011,235000.0,172057000.0
March 2012,174000.0,166881000.0
June 2012,-141000.0,
September 2012,123000.0,180114000.0
December 2012,323000.0,182077000.0
March 2013,140000.0,174950000.0
June 2013,101000.0,176908000.0
September 2013,40000.0,183054000.0
December 2013,48000.0,176673000.0
