,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
September 2009,19576500.0,1292250.0,4985250.0,,,
December 2009,19576500.0,1292250.0,4985250.0,,,
March 2010,19576500.0,1292250.0,4985250.0,,,
June 2010,19576500.0,1292250.0,4985250.0,,,
September 2010,20378000.0,1629000.0,4975000.0,,,
December 2010,22533000.0,1435000.0,5720000.0,,,
March 2011,23659000.0,1715000.0,5048000.0,,,
June 2011,24877000.0,1869000.0,4682000.0,,,
September 2011,27170000.0,2145000.0,6220000.0,,,
December 2011,27660000.0,2298000.0,7294000.0,,,
March 2012,28845000.0,2217000.0,8174000.0,,,
June 2012,28368000.0,2594000.0,9649000.0,,,
September 2012,27755000.0,2294000.0,9576000.0,,,
December 2012,28288000.0,2183000.0,10452000.0,,,
March 2013,31261000.0,2399000.0,8998000.0,,,
June 2013,32984000.0,2444000.0,10213000.0,,,
September 2013,33187000.0,2259000.0,11185000.0,,,
December 2013,34126000.0,2492000.0,11126000.0,,,
March 2014,35592000.0,2632000.0,10249000.0,,,
June 2014,39466000.0,3430000.0,10705000.0,,,
September 2014,41467000.0,3549000.0,11239000.0,,,
December 2014,42290000.0,3211000.0,11085000.0,,,
March 2015,42318000.0,3536000.0,12356000.0,,,
June 2015,46631000.0,3726000.0,13273000.0,,,
September 2015,47422000.0,3765000.0,14254000.0,,,
December 2015,47941000.0,3069000.0,15389000.0,,,
March 2016,57058000.0,4065000.0,14019000.0,,,
June 2016,59514000.0,4511000.0,16291000.0,,,
September 2016,62444000.0,4548000.0,18800000.0,,,
December 2016,59864000.0,4489000.0,18070000.0,,,
March 2017,64004000.0,4291000.0,17511000.0,,,
June 2017,70438000.0,5039000.0,16997000.0,,,
September 2017,69025000.0,5329000.0,22929000.0,,,
December 2017,68753000.0,5643000.0,32488000.0,,,
March 2018,77607000.0,6571000.0,18736000.0,,,
June 2018,76922000.0,7103000.0,16888000.0,,,
September 2018,77571000.0,7078000.0,19242000.0,,,
December 2018,78479000.0,7923000.0,18800000.0,,,
March 2019,92065000.0,7354000.0,8175000.0,,,
June 2019,95820000.0,8965000.0,8825000.0,,,
September 2019,101445000.0,7747000.0,5767000.0,,,
December 2019,114648000.0,7857000.0,-2263000.0,,,
March 2020,78539000.0,8349000.0,15787000.0,,,
June 2020,93034000.0,8419000.0,-5583000.0,,,
September 2020,97014000.0,7573000.0,24464000.0,,,
December 2020,111849000.0,7560000.0,12068000.0,,,
March 2021,105799000.0,7941000.0,21118000.0,,,
