,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
June 2010,-2902000.0,,,
September 2010,-1154000.0,,,
December 2010,-6365000.0,,,
March 2011,48849000.0,,,
June 2011,-3062000.0,,,
September 2011,-765000.0,,,
December 2011,-24635000.0,,,
March 2012,-49124000.0,,,
June 2012,-8371000.0,,,
September 2012,-20967000.0,,,
December 2012,-11407000.0,,,
March 2013,-13397000.0,,,
June 2013,-191000.0,,,
September 2013,-339000.0,,,
December 2013,-10750000.0,,,
March 2014,-13423000.0,660438000.0,,
June 2014,-6655000.0,657425000.0,,
September 2014,1080000.0,661522000.0,,
December 2014,-5987000.0,669795000.0,78669000.0,591126000.0
March 2015,-9271000.0,654404000.0,73029000.0,581375000.0
June 2015,1025000.0,657528000.0,84836000.0,572692000.0
September 2015,2296000.0,660665000.0,85756000.0,574909000.0
December 2015,-7019000.0,633669000.0,76668000.0,557001000.0
March 2016,-7608000.0,620406000.0,70732000.0,549674000.0
June 2016,5195000.0,631621000.0,78589000.0,
September 2016,7537000.0,635255000.0,83084000.0,
December 2016,-11973000.0,631512000.0,78588000.0,
March 2017,-224000.0,621249000.0,72735000.0,
June 2017,-53675000.0,588877000.0,82653000.0,
September 2017,12080000.0,592420000.0,84531000.0,
December 2017,20020000.0,614949000.0,84380000.0,
March 2018,-3910000.0,631375000.0,84917000.0,
June 2018,1704000.0,652574000.0,96875000.0,
September 2018,22302000.0,702848000.0,101875000.0,
December 2018,-13676000.0,732410000.0,97093000.0,
March 2019,-1714000.0,828313000.0,109153000.0,
June 2019,11915000.0,865960000.0,105386000.0,
September 2019,12386000.0,935780000.0,113791000.0,
December 2019,9066000.0,932182000.0,102813000.0,
March 2020,959000.0,957640000.0,119554000.0,
June 2020,12113000.0,966971000.0,98079000.0,
September 2020,15117000.0,994255000.0,115747000.0,
December 2020,62917000.0,1193898000.0,247254000.0,
March 2021,4311000.0,1194246000.0,239506000.0,
June 2021,11783000.0,1227833000.0,269255000.0,
September 2021,15861000.0,1280397000.0,167159000.0,
December 2021,9145000.0,1283580000.0,146479000.0,
March 2022,4190000.0,1306971000.0,133985000.0,
June 2022,17796000.0,1370719000.0,181156000.0,
