,OperatingExpenses,Assets
March 2009,3334252.5,
June 2009,3334252.5,
September 2009,3334252.5,
December 2009,3334252.5,
March 2010,2637756.0,
June 2010,2340810.0,
September 2010,2107694.0,
December 2010,2172736.0,154428939.0
March 2011,2188972.0,
June 2011,2067680.0,136524919.0
September 2011,1927322.0,133902585.0
December 2011,1775438.0,123494814.0
March 2012,1657465.0,116824617.0
June 2012,1472882.0,95096710.0
September 2012,1296513.0,85825931.0
December 2012,1064473.0,72059442.0
March 2013,959880.0,66134663.0
June 2013,900200.0,62092807.0
September 2013,810463.0,54518746.0
December 2013,775500.0,53452225.0
March 2014,632753.0,43379766.0
June 2014,603824.0,40951292.0
September 2014,509397.0,34128423.0
December 2014,469070.0,33196837.0
March 2015,480278.0,34474474.0
June 2015,453307.0,31484226.0
September 2015,402186.0,27695735.0
December 2015,368970.0,25178299.0
March 2016,358469.0,25184018.0
June 2016,340776.0,23319849.0
September 2016,320213.0,21568398.0
