,NetIncomeLoss,Assets
March 2009,1552500.0,
June 2009,1552500.0,
September 2009,1552500.0,
December 2009,1552500.0,
March 2010,-2906000.0,
June 2010,-2574000.0,
September 2010,-1797000.0,
December 2010,-1359000.0,918235000.0
March 2011,-3082000.0,
June 2011,-1573000.0,930271000.0
September 2011,12196000.0,999758000.0
December 2011,-2213000.0,1018493000.0
March 2012,-2081000.0,1029471000.0
June 2012,23669000.0,1060203000.0
September 2012,2093000.0,1182006000.0
December 2012,6911000.0,1172477000.0
March 2013,10346000.0,1128148000.0
June 2013,1638000.0,1165878000.0
September 2013,19993000.0,1324837000.0
December 2013,29273000.0,1422497000.0
March 2014,42273000.0,1394150000.0
June 2014,62348000.0,1407382000.0
September 2014,3418000.0,1421831000.0
December 2014,36672000.0,1465697000.0
