,OperatingExpenses,Assets,AssetsCurrent
March 2017,76063750.0,,
June 2017,76063750.0,,
September 2017,76063750.0,,
December 2017,76063750.0,,
March 2018,60711000.0,,
June 2018,60711000.0,,
September 2018,66003000.0,179225000.0,
December 2018,10411000.0,237222000.0,155403000.0
March 2019,62645000.0,267566000.0,
June 2019,64521000.0,265768000.0,162970000.0
September 2019,72113000.0,253964000.0,154384000.0
December 2019,66401000.0,246825000.0,146041000.0
March 2020,59236000.0,215360000.0,134085000.0
June 2020,40002000.0,205393000.0,127818000.0
September 2020,45720000.0,190353000.0,118559000.0
