,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
December 2008,25346500.0,,15548750.0,,
March 2009,25346500.0,,15548750.0,,
June 2009,25346500.0,,15548750.0,,
September 2009,25346500.0,,15548750.0,,
December 2009,16741250.0,984500.0,16714000.0,,
March 2010,16741250.0,984500.0,16714000.0,,
June 2010,16741250.0,984500.0,16381000.0,,
September 2010,16741250.0,984500.0,15857000.0,154947000.0,58294000.0
December 2010,17471000.0,983750.0,16735000.0,,
March 2011,17471000.0,983750.0,17512000.0,,
June 2011,17471000.0,983750.0,17076000.0,167993000.0,59725000.0
September 2011,17471000.0,983750.0,16907000.0,171665000.0,62069000.0
December 2011,18570500.0,906250.0,17140000.0,171189000.0,61563000.0
March 2012,18570500.0,906250.0,18656000.0,178000000.0,64821000.0
June 2012,18570500.0,906250.0,17987000.0,185254000.0,67653000.0
September 2012,18570500.0,906250.0,17642000.0,185918000.0,68268000.0
December 2012,18686500.0,847000.0,17764000.0,183061000.0,65878000.0
March 2013,18686500.0,847000.0,18664000.0,182606000.0,66576000.0
June 2013,18686500.0,847000.0,17896000.0,186940000.0,70492000.0
September 2013,18686500.0,847000.0,18089000.0,192310000.0,75048000.0
December 2013,19952000.0,951500.0,18581000.0,198228000.0,75633000.0
March 2014,19952000.0,951500.0,19282000.0,203612000.0,78511000.0
June 2014,19952000.0,951500.0,19762000.0,211669000.0,80053000.0
September 2014,19952000.0,951500.0,19249000.0,214778000.0,83850000.0
December 2014,20483750.0,906000.0,19554000.0,211900000.0,80665000.0
March 2015,20483750.0,906000.0,19789000.0,212213000.0,82965000.0
June 2015,20483750.0,906000.0,19061000.0,210905000.0,82425000.0
September 2015,20483750.0,906000.0,18852000.0,212449000.0,86215000.0
December 2015,22218000.0,928750.0,20342000.0,229216000.0,90627000.0
March 2016,22218000.0,928750.0,21779000.0,234515000.0,89814000.0
June 2016,22218000.0,928750.0,21895000.0,236595000.0,92741000.0
September 2016,22218000.0,928750.0,20929000.0,235855000.0,93866000.0
December 2016,,,21255000.0,236205000.0,95748000.0
March 2017,,,23011000.0,236605000.0,96993000.0
June 2017,,,25261000.0,256458000.0,101069000.0
