,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2009,7116250.0,4122500.0,,-4681750.0,,,
June 2009,7116250.0,4122500.0,,-4681750.0,,,
September 2009,7116250.0,4122500.0,,-4681750.0,,,
December 2009,7116250.0,4122500.0,,-4681750.0,,,
March 2010,8342500.0,5910000.0,,5480000.0,,,
June 2010,8342500.0,6525000.0,,-3406000.0,,,
September 2010,9059000.0,6801000.0,,5135000.0,,,
December 2010,10459000.0,6842000.0,,-6331000.0,113871000.0,110026000.0,
March 2011,7302000.0,5335000.0,,1980000.0,,,
June 2011,8431000.0,6456000.0,,-4599000.0,105339000.0,104923000.0,
September 2011,6023000.0,4388000.0,,78000.0,104051000.0,103777000.0,
December 2011,2844000.0,5727000.0,,-7055000.0,97965000.0,97881000.0,
March 2012,2795000.0,1518000.0,,-436000.0,95236000.0,95219000.0,
June 2012,3506000.0,1330000.0,,-2733000.0,92950000.0,92950000.0,8167000.0
September 2012,4750000.0,3145000.0,,-4090000.0,66510000.0,66510000.0,
December 2012,,4600000.0,,4829000.0,96182000.0,87989000.0,8193000.0
March 2013,,4936000.0,,200000.0,94839000.0,87285000.0,7554000.0
June 2013,,6519000.0,,-6500000.0,84300000.0,80000000.0,5800000.0
September 2013,,3000000.0,,-3900000.0,79000000.0,75000000.0,4000000.0
December 2013,,4200000.0,,-100000.0,82700000.0,79300000.0,3400000.0
March 2014,,4100000.0,,3200000.0,120500000.0,117500000.0,3000000.0
June 2014,,6200000.0,,-10200000.0,114000000.0,101100000.0,12900000.0
September 2014,,4900000.0,,-6900000.0,97300000.0,76100000.0,21200000.0
December 2014,,4800000.0,,6500000.0,93400000.0,86200000.0,7200000.0
March 2015,,4800000.0,,1200000.0,88800000.0,87400000.0,1400000.0
June 2015,,5300000.0,,-19900000.0,79400000.0,70800000.0,8600000.0
September 2015,,5500000.0,,-6600000.0,71000000.0,61200000.0,9800000.0
December 2015,,6300000.0,,-6500000.0,64200000.0,58600000.0,5600000.0
March 2016,,8500000.0,,-5200000.0,61900000.0,60500000.0,1400000.0
June 2016,,6000000.0,,-7100000.0,72700000.0,72400000.0,300000.0
September 2016,,7600000.0,,-10000000.0,63100000.0,62800000.0,
December 2016,,10200000.0,,-9100000.0,56500000.0,56200000.0,
March 2017,4557000.0,6800000.0,678000.0,-4400000.0,46700000.0,46400000.0,
June 2017,4977000.0,4324000.0,,-3538000.0,40100000.0,39900000.0,
September 2017,2871000.0,2247000.0,,-2173000.0,34700000.0,34500000.0,
December 2017,3449000.0,2500000.0,,-3400000.0,4523000.0,3753000.0,
March 2018,5418000.0,3408000.0,2010000.0,2314000.0,56537000.0,31896000.0,
June 2018,8383000.0,5012000.0,,-8871000.0,47759000.0,25503000.0,
September 2018,6161000.0,4381000.0,,-6548000.0,40636000.0,19167000.0,
December 2018,5953000.0,4474000.0,,-4902000.0,35227000.0,14645000.0,
March 2019,5855000.0,3829000.0,,-1339000.0,36309000.0,15250000.0,
June 2019,5082000.0,3707000.0,,-5637000.0,37250000.0,17107000.0,
September 2019,5168000.0,3713000.0,,-5260000.0,42695000.0,21254000.0,
December 2019,9542000.0,3291000.0,,-6409000.0,37032000.0,17598000.0,
March 2020,3596000.0,1542000.0,,-1297000.0,52564000.0,33665000.0,
June 2020,9049000.0,5114000.0,,-8977000.0,64190000.0,45726000.0,
September 2020,7854000.0,4616000.0,,-8085000.0,154710000.0,135591000.0,
December 2020,13717000.0,8591000.0,,-13861000.0,152582000.0,128531000.0,
March 2021,16017000.0,10073000.0,,-16007000.0,205866000.0,175420000.0,
June 2021,15887000.0,10737000.0,,-16116000.0,228844000.0,189492000.0,
September 2021,17451000.0,12409000.0,,-17583000.0,241136000.0,192300000.0,
December 2021,24289000.0,15530000.0,,-20764000.0,221168000.0,169167000.0,
March 2022,24861000.0,18203000.0,,-25101000.0,200378000.0,154180000.0,
June 2022,29247000.0,19926000.0,,-29430000.0,181454000.0,137810000.0,
