,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
June 2013,4371592.0,,,-4416592.0,,,
September 2013,47640.0,,,-127640.0,,,
December 2013,54889.0,,,-54889.0,,,
March 2014,64890.0,,,-147374.0,27280.0,27280.0,
June 2014,114974.0,,,-119835.0,20604.0,20604.0,
September 2014,294850.0,,,-389075.0,40931.0,40931.0,
December 2014,29512.0,,,-85251.0,14958.0,14958.0,
March 2015,875846.0,322455.0,83041.0,-876396.0,22560.0,22560.0,
June 2015,41244.0,361936.0,79014.0,-548622.0,14350.0,14350.0,
September 2015,690762.0,372533.0,,-242049.0,8150.0,8150.0,
December 2015,1791146.0,366845.0,,-1868954.0,239100.0,25345.0,113021.0
March 2016,645962.0,186938.0,72798.0,-1206788.0,225355.0,35804.0,102083.0
June 2016,715082.0,122300.0,71781.0,411166.0,111120.0,12255.0,91146.0
September 2016,366309.0,43154.0,,-387609.0,93171.0,5737.0,80208.0
December 2016,352785.0,191.0,,-314492.0,88086.0,12083.0,69271.0
March 2017,140483.0,,,186023.0,1121436.0,1056854.0,58333.0
June 2017,616827.0,,,-1270650.0,1050806.0,997655.0,47396.0
September 2017,329588.0,,,-286674.0,772160.0,771540.0,
December 2017,249682.0,,,-1346904.0,305059.0,304506.0,
March 2018,254343.0,,,121532.0,118498.0,118011.0,
June 2018,314580.0,,,-492486.0,210560.0,210140.0,
September 2018,672712.0,,,-1022715.0,480542.0,480188.0,
December 2018,369420.0,,,996412.0,160389.0,160035.0,
March 2019,766772.0,,,-505274.0,268968.0,268747.0,
June 2019,434641.0,,,-812697.0,200579.0,200490.0,
September 2019,405006.0,,,439709.0,15318.0,15318.0,
December 2019,-476726.0,,,196283.0,8143.0,8143.0,
March 2020,498319.0,23000.0,,-437402.0,4080.0,4080.0,
June 2020,538255.0,87000.0,,-872645.0,19601.0,19601.0,
September 2020,599890.0,96943.0,,-2424589.0,10675.0,10675.0,
December 2020,-312068.0,155513.0,,-1128047.0,21200.0,21200.0,
March 2021,3333857.0,73954.0,,-4406059.0,1972191.0,1972191.0,
June 2021,2903304.0,147453.0,,-2904203.0,1518674.0,1518674.0,
September 2021,1196684.0,164378.0,,-1054192.0,1121484.0,1121484.0,
December 2021,3607419.0,261517.0,,-3612611.0,1669880.0,1669880.0,
March 2022,1770109.0,254837.0,,-1788246.0,965074.0,965074.0,
June 2022,1263243.0,204216.0,,-1283446.0,537574.0,537574.0,
