,OperatingExpenses,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2011,,,,
June 2011,,,2764402.0,1365143.0
September 2011,,,2103250.0,655777.0
December 2011,,,15870000.0,14308000.0
March 2012,,,9579828.0,7740866.0
June 2012,,,50954779.0,44985408.0
September 2012,,,41329685.0,38652610.0
December 2012,,,37405000.0,34049000.0
March 2013,,2920250.0,22890000.0,22689000.0
June 2013,,2920250.0,95232000.0,94649000.0
September 2013,,2920250.0,88060000.0,87349000.0
December 2013,,2920250.0,72558000.0,71875000.0
March 2014,,2728500.0,76899000.0,76216000.0
June 2014,,2728500.0,56749000.0,55997000.0
September 2014,,2506000.0,37644000.0,36874000.0
December 2014,,3041000.0,213344000.0,200203000.0
March 2015,,4606000.0,194832000.0,182277000.0
June 2015,,7394000.0,164769000.0,163966000.0
September 2015,,2728000.0,143957000.0,143148000.0
December 2015,,7066000.0,115929000.0,115055000.0
March 2016,,6375000.0,88393000.0,87516000.0
June 2016,,10249000.0,146552000.0,145485000.0
September 2016,,13872000.0,111812000.0,110834000.0
December 2016,,25992000.0,89852000.0,88916000.0
March 2017,61189000.0,41891000.0,164242000.0,163266000.0
June 2017,74254000.0,50693000.0,104899000.0,103963000.0
September 2017,50986000.0,43973000.0,145791000.0,144428000.0
December 2017,,41779000.0,166606000.0,165160000.0
March 2018,43537000.0,40145000.0,132646000.0,131171000.0
June 2018,37459000.0,34615000.0,96605000.0,95125000.0
September 2018,36791000.0,33887000.0,83039000.0,81658000.0
