,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent
March 2012,2291500.0,-2189750.0,,
June 2012,2291500.0,-2189750.0,,
September 2012,2291500.0,-2189750.0,,
December 2012,2291500.0,-2189750.0,,
March 2013,2052000.0,-1759000.0,,
June 2013,5766000.0,-5740000.0,,
September 2013,10055000.0,-16484000.0,,
December 2013,17753000.0,-19558000.0,1143523000.0,118781000.0
March 2014,25992000.0,-18451000.0,,
June 2014,34166000.0,-112648000.0,1890877000.0,538677000.0
September 2014,60806000.0,-19054000.0,1888685000.0,307801000.0
December 2014,101026000.0,-33023000.0,1879684000.0,154279000.0
March 2015,93248000.0,-34103000.0,2181468000.0,390239000.0
June 2015,114909000.0,-41970000.0,2153898000.0,306511000.0
September 2015,123462000.0,-81468000.0,2119179000.0,281348000.0
December 2015,911187000.0,-813869000.0,1266665000.0,269637000.0
March 2016,95367000.0,-45534000.0,1173165000.0,206967000.0
June 2016,83865000.0,-73011000.0,1100590000.0,144706000.0
September 2016,78678000.0,-25949000.0,1202991000.0,208780000.0
December 2016,89527000.0,-62089000.0,1197859000.0,249630000.0
March 2017,87632000.0,26847000.0,1200290000.0,198101000.0
June 2017,80589000.0,11494000.0,1212257000.0,142343000.0
September 2017,94338000.0,-16694000.0,1210246000.0,76733000.0
December 2017,108431000.0,-13122000.0,1223527000.0,107062000.0
March 2018,95651000.0,-2626000.0,1388318000.0,143359000.0
June 2018,92989000.0,-19036000.0,1405799000.0,131478000.0
September 2018,108929000.0,3998000.0,1434229000.0,138963000.0
December 2018,123590000.0,36490000.0,1433769000.0,133930000.0
March 2019,136642000.0,-14098000.0,1870454000.0,137035000.0
June 2019,145370000.0,27512000.0,1920276000.0,127449000.0
September 2019,158394000.0,4284000.0,1930513000.0,125409000.0
December 2019,,14064000.0,1951177000.0,126014000.0
March 2020,,2827000.0,1940751000.0,129511000.0
June 2020,,-68854000.0,1896262000.0,106749000.0
September 2020,,-92200000.0,1823401000.0,78024000.0
