,NetIncomeLoss,Assets,AssetsCurrent
March 2019,-342.0,,
June 2019,-29.0,102223.0,4160.0
September 2019,501889.0,174035906.0,770436.0
December 2019,390904.0,174370847.0,546583.0
March 2020,865318.0,175317370.0,639109.0
June 2020,-808079.0,175230303.0,528798.0
September 2020,-103021.0,175174889.0,406698.0
December 2020,648729.0,175114685.0,564219.0
March 2021,954694.0,175052449.0,451440.0
June 2021,-405234.0,148897422.0,600397.0
September 2021,936143.0,149988136.0,448508.0
December 2021,290411.0,127692508.0,277981.0
March 2022,-547900.0,95428736.0,272662.0
June 2022,578625.0,27424527.0,91631.0
