,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
June 2010,1597120.0,2152464.0,,,
September 2010,1936887.0,1627449.0,,,
December 2010,2564575.0,2237453.0,,,
March 2011,3464106.0,2415092.0,53934624.0,39456654.0,
June 2011,2453083.0,3242729.0,,,
September 2011,4032015.0,1633713.0,64487125.0,36699307.0,
December 2011,4674507.0,1573982.0,66307895.0,38734926.0,
March 2012,5921024.0,1691202.0,74961013.0,47848062.0,
June 2012,4704803.0,534887.0,83744733.0,,
September 2012,3412934.0,-1528449.0,88245098.0,64051632.0,
December 2012,6479232.0,-3486521.0,81250892.0,57962708.0,
March 2013,14093985.0,-9853648.0,67838021.0,45155120.0,
June 2013,4321660.0,-787516.0,69636745.0,47106824.0,
September 2013,3471112.0,-546062.0,70265404.0,46757643.0,
December 2013,9038870.0,-8735230.0,67488256.0,44134650.0,
March 2014,8125986.0,-15287328.0,45908827.0,27731594.0,
June 2014,2849778.0,-346737.0,43006980.0,25323893.0,
September 2014,2679955.0,-36193.0,49469621.0,32406182.0,
December 2014,2806297.0,126538.0,54229244.0,34990647.0,
March 2015,2393811.0,1112949.0,59508588.0,42286622.0,10165185.0
June 2015,4016599.0,110611.0,62538257.0,45409713.0,10371016.0
September 2015,4258597.0,151175.0,63716617.0,47600407.0,9951147.0
December 2015,5155085.0,-617529.0,59919122.0,44473871.0,9725834.0
March 2016,4106067.0,802899.0,62072787.0,46883003.0,9646708.0
June 2016,4601203.0,131153.0,55021622.0,40012120.0,
September 2016,4405972.0,97870.0,61188315.0,46427001.0,
December 2016,5022031.0,-834806.0,54281340.0,40437581.0,
March 2017,8695890.0,-5038421.0,67173018.0,55960458.0,6949403.0
June 2017,5642302.0,-1419304.0,65373898.0,52890537.0,8075512.0
September 2017,7206327.0,-1168709.0,70165797.0,57213864.0,8418543.0
December 2017,7758753.0,-1625829.0,74095975.0,60422800.0,9849494.0
March 2018,17538957.0,-12846091.0,73812692.0,62320142.0,8648910.0
June 2018,6181506.0,-696615.0,64576776.0,53198602.0,8669793.0
September 2018,7439007.0,-1602715.0,64703020.0,54270964.0,7893155.0
December 2018,9261439.0,-1678231.0,67025257.0,50876895.0,7720492.0
March 2019,3102221.0,3051283.0,72730636.0,56202981.0,7800297.0
June 2019,8820163.0,-2378170.0,80217704.0,50156769.0,21440177.0
September 2019,8309783.0,-1346967.0,87149801.0,56456261.0,22650029.0
December 2019,6730460.0,531782.0,85798498.0,55292813.0,22408257.0
March 2020,8669766.0,-2620014.0,99516233.0,60987212.0,
June 2020,8392573.0,-231509.0,100575570.0,63557480.0,
September 2020,8537071.0,-1493719.0,105485440.0,67813878.0,
December 2020,14454884.0,-6256319.0,102558144.0,63085365.0,
March 2021,6696521.0,-138315.0,106310631.0,72234243.0,
