,OperatingExpenses,ResearchAndDevelopmentExpense,Assets,AssetsCurrent
March 2010,1375323.0,1298386.0,,
June 2010,1204550.0,1122339.0,,
September 2010,1209673.0,1172273.0,,
December 2010,1241696.0,1187074.0,,
March 2011,1500907.0,1434654.0,21596.0,17476.0
June 2011,1785015.0,1740742.0,,
September 2011,1839980.0,1764352.0,26241.0,22475.0
December 2011,2031760.0,1985771.0,19723.0,16134.0
March 2012,1680127.0,1538440.0,20716.0,17297.0
June 2012,1794174.0,1496890.0,18197.0,14949.0
September 2012,1529741.0,1430406.0,17204.0,14127.0
December 2012,1495014.0,1581940.0,5542.0,2636.0
March 2013,1357045.0,1213036.0,3928.0,1192.0
June 2013,1106511.0,1020713.0,3845.0,1280.0
September 2013,982868.0,937471.0,3240.0,846.0
December 2013,825361.0,792198.0,2307.0,84.0
March 2014,840888.0,780290.0,2281.0,229.0
June 2014,726690.0,704176.0,3765.0,1884.0
September 2014,707649.0,654260.0,7519.0,5809.0
December 2014,616888.0,569871.0,3535.0,1996.0
March 2015,624525.0,572235.0,3648.0,2280.0
June 2015,510301.0,485513.0,1677.0,480.0
September 2015,460193.0,432981.0,1528.0,502.0
December 2015,410081.0,356616.0,1445.0,590.0
March 2016,369953.0,349457.0,3987.0,3303.0
June 2016,401815.0,309945.0,1372.0,859.0
September 2016,383139.0,347967.0,766.0,424.0
December 2016,349810.0,317592.0,1053.0,882.0
March 2017,462216.0,367530.0,10731.0,10731.0
June 2017,425743.0,325110.0,382.0,382.0
September 2017,401125.0,343449.0,504.0,504.0
December 2017,324617.0,244381.0,36087.0,36087.0
March 2018,409577.0,280737.0,28929.0,28929.0
June 2018,449671.0,308460.0,16915.0,16915.0
September 2018,439638.0,322060.0,45303.0,45303.0
December 2018,338831.0,234677.0,33665.0,33665.0
March 2019,468314.0,332737.0,22172.0,22172.0
June 2019,410220.0,299732.0,12859.0,12859.0
September 2019,471693.0,339735.0,46093.0,46093.0
December 2019,284755.0,230999.0,32556.0,32556.0
March 2020,457970.0,339685.0,19853.0,19853.0
June 2020,328540.0,249481.0,9302.0,9302.0
September 2020,264325.0,230131.0,2962.0,2962.0
December 2020,250936.0,203654.0,2142.0,2142.0
March 2021,316283.0,231946.0,956.0,956.0
June 2021,224718.0,186417.0,2009.0,2009.0
September 2021,264776.0,214112.0,1840.0,1840.0
December 2021,170879.0,127035.0,6739.0,6739.0
March 2022,231737.0,167354.0,4661.0,4661.0
June 2022,215918.0,170955.0,5466.0,5466.0
