,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2015,35225000.0,,,
June 2015,35225000.0,,,
September 2015,35225000.0,,,
December 2015,35225000.0,,,
March 2016,28139000.0,,,
June 2016,44167000.0,,,
September 2016,36800000.0,,,
December 2016,47800000.0,3054641000.0,923648000.0,2130993000.0
March 2017,22600000.0,2994815000.0,877780000.0,2117035000.0
June 2017,46473000.0,3237221000.0,1046600000.0,2190621000.0
September 2017,36900000.0,3302800000.0,1060400000.0,2242400000.0
December 2017,283900000.0,3330500000.0,1094000000.0,2236500000.0
March 2018,47600000.0,3412800000.0,1193000000.0,2219800000.0
June 2018,65800000.0,3493400000.0,1261400000.0,2232000000.0
September 2018,70700000.0,3593900000.0,1301600000.0,2292300000.0
December 2018,84800000.0,3624500000.0,1324300000.0,2300200000.0
March 2019,36900000.0,3871400000.0,1365000000.0,2506400000.0
June 2019,34500000.0,3892700000.0,1428900000.0,2463800000.0
September 2019,19700000.0,3831000000.0,1527600000.0,2303400000.0
December 2019,55900000.0,3660100000.0,1405700000.0,2254400000.0
March 2020,43800000.0,3714900000.0,1459300000.0,2255600000.0
June 2020,46500000.0,3777700000.0,1518200000.0,2259500000.0
September 2020,44500000.0,3853600000.0,1583000000.0,2270600000.0
December 2020,76900000.0,3516200000.0,1220700000.0,2295500000.0
March 2021,54800000.0,3613300000.0,1335100000.0,2278200000.0
June 2021,106500000.0,3767800000.0,1398300000.0,2369500000.0
September 2021,110000000.0,3870100000.0,1455300000.0,2414800000.0
December 2021,134100000.0,3937300000.0,1248500000.0,2688800000.0
March 2022,92100000.0,4086600000.0,1397300000.0,2689300000.0
June 2022,129800000.0,4222100000.0,1452500000.0,2769600000.0
