,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2019,6531000.0,-23436250.0,,,
June 2019,6531000.0,-23436250.0,,,
September 2019,6531000.0,-23436250.0,,,
December 2019,6531000.0,-23436250.0,,,
March 2020,8452000.0,-19902000.0,,,
June 2020,6208000.0,-13685000.0,,,
September 2020,7622000.0,-5444000.0,,,
December 2020,8104000.0,-20923000.0,1327584000.0,143828000.0,1183756000.0
March 2021,10325000.0,-15995000.0,,,
June 2021,12047000.0,-24334000.0,1486757000.0,267328000.0,1219429000.0
September 2021,12711000.0,-36906000.0,1489285000.0,162654000.0,1326631000.0
December 2021,14423000.0,-4731000.0,1663373000.0,171617000.0,1491756000.0
March 2022,17637000.0,-13309000.0,1651393000.0,186482000.0,1464911000.0
June 2022,17423000.0,-12881000.0,1633287000.0,199796000.0,1433491000.0
