,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
December 2005,7963.6875,,-3605.0,,,
March 2006,7963.6875,,-3605.0,,,
June 2006,7963.6875,,-3605.0,,,
September 2006,7963.6875,,-3605.0,,,
December 2006,7963.6875,,-26317.75,,,
March 2007,7963.6875,,-26317.75,,,
June 2007,7963.6875,,-26317.75,,,
September 2007,7963.6875,,-26317.75,,,
December 2007,7963.6875,,-2420.5,,,
March 2008,7963.6875,,-2420.5,,,
June 2008,7963.6875,,-2420.5,,,
September 2008,7963.6875,,-2420.5,,,
December 2008,7963.6875,,-395.5,,,
March 2009,7963.6875,,-395.5,,,
June 2009,7963.6875,,-395.5,,,
September 2009,7963.6875,,-395.5,,,
December 2009,4994.5,,-5382.25,,,
March 2010,4994.5,,-5382.25,,,
June 2010,4994.5,,-5382.25,,,
September 2010,4994.5,,-5382.25,2725.0,2725.0,
December 2010,1605.0,,-8461.75,,,
March 2011,4957.0,,-8461.75,,,
June 2011,9208.0,,-8461.75,,,
September 2011,29821.0,,-8461.75,2673.0,2673.0,
December 2011,12018.0,,-5837.0,,,
March 2012,2634.0,,-4199.0,2986.0,2986.0,
June 2012,17334.0,,-19346.0,1652.0,1652.0,
September 2012,1572.0,,-5071.0,1580.0,1580.0,
December 2012,6464.0,,-7359.0,2116.0,2116.0,
March 2013,3000.0,,-3718.0,1728.0,1728.0,
June 2013,30.0,,107.0,2547.0,2547.0,
September 2013,-168350.0,,-152816.0,,,
December 2013,337374.0,,-325178.0,,,
March 2014,8871.0,,-6239.0,,,
June 2014,8430.0,,-8430.0,100.0,100.0,
September 2014,5710.0,,-5710.0,87.0,87.0,
December 2014,4747.0,,-4747.0,1787.0,1787.0,
March 2015,8576.0,,-8576.0,1092.0,1092.0,
June 2015,3046.0,,-10511.0,,,
September 2015,44813.0,,-920050.0,1627699.0,887919.0,
December 2015,31707.0,,-31707.0,541.0,541.0,
March 2016,2132.0,,-2132.0,2564.0,2564.0,
June 2016,1922.0,,-1922.0,2022.0,2022.0,
September 2016,4847902.0,,-2099378.0,2100243.0,248391.0,
December 2016,969452.0,,-208267.0,2362322.0,535147.0,
March 2017,1088314.0,,-136945.0,2511619.0,707001.0,
June 2017,1180464.0,,-375291.0,,,
September 2017,1216741.0,,-255472.0,2376968.0,623324.0,1753644.0
December 2017,1169365.0,,-270853.0,2624136.0,889183.0,
March 2018,1727035.0,,-682030.0,2160248.0,409895.0,1750353.0
June 2018,1166015.0,,-104078.0,1993002.0,265608.0,1727394.0
September 2018,1238250.0,,-463671.0,1776736.0,75575.0,
December 2018,1157213.0,133451.25,-199372.0,1795903.0,114844.0,
March 2019,1425312.0,133451.25,-316023.0,1640253.0,37811.0,
June 2019,899187.0,133451.25,-16941.0,1636948.0,62039.0,
September 2019,1071198.0,133451.25,-91149.0,1751113.0,195440.0,
December 2019,852123.0,95909.0,-12042.0,2052559.0,218994.0,
March 2020,776661.0,85903.0,-162107.0,1960256.0,172225.0,
June 2020,1210254.0,168084.0,-271170.0,10217734.0,1026223.0,
September 2020,1760232.0,322888.0,-346356.0,9849624.0,1095793.0,
December 2020,1895701.0,336767.0,-194360.0,9770858.0,873940.0,
March 2021,1786247.0,221398.0,-103787.0,10071161.0,1224758.0,
June 2021,2075039.0,342023.0,-7111843.0,2466502.0,1043590.0,
September 2021,1617716.0,241382.0,-13091.0,4349282.0,842001.0,
December 2021,1669059.0,,-74740.0,4351897.0,872908.0,
March 2022,1893185.0,,-397996.0,3941394.0,499329.0,
June 2022,1480665.0,,46996.0,3945713.0,546522.0,
