,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2010,771978.0,778320.0,8040.0,,,
June 2010,771978.0,845572.0,-313638.0,,,
September 2010,771978.0,798126.0,-461151.0,,,
December 2010,771978.0,662685.0,9340.0,4344460.0,1015497.0,
March 2011,283232.0,378941.0,454989.0,,,
June 2011,283232.0,323035.0,138539.0,4845587.0,276130.0,
September 2011,283232.0,238970.0,113693.0,5059022.0,353493.0,
December 2011,283232.0,171574.0,-108976.0,4797344.0,2610935.0,
March 2012,201272.0,209543.0,208019.0,5257587.0,2736525.0,
June 2012,201272.0,213733.0,159629.0,5244803.0,2845090.0,
September 2012,201272.0,164884.0,96643.0,,,
December 2012,201272.0,216928.0,-98440.0,5018519.0,3147752.0,
March 2013,237777.75,251444.0,81823.0,5070647.0,3254450.0,
June 2013,237777.75,258653.0,21638.0,5058433.0,3259160.0,
September 2013,237777.75,127190.0,83754.0,5201154.0,3454275.0,
December 2013,237777.75,191759.0,-90972.0,5003245.0,,
March 2014,176584.0,288908.0,52182.0,5078032.0,,
June 2014,176584.0,187632.0,78293.0,5182957.0,,
September 2014,176584.0,245151.0,96394.0,5234370.0,,
December 2014,176584.0,95712.0,157314.0,5130927.0,369526.0,
March 2015,402912.0,402912.0,-173055.0,5266747.0,200240.0,
June 2015,134562.0,134562.0,104208.0,5366316.0,,
September 2015,111643.0,196851.0,168554.0,5421737.0,,
December 2015,111643.0,26435.0,-1019028.0,4195213.0,200240.0,
March 2016,212254.0,212254.0,-9217.0,4107525.0,443856.0,
June 2016,306125.0,306125.0,79547.0,4305967.0,1274958.0,
September 2016,634338.0,634338.0,20100.0,8494270.0,4806027.0,
December 2016,-897794.0,555697.0,-198068.0,9841232.0,5974482.0,3866750.0
March 2017,605614.0,605614.0,168628.0,14984871.0,5065826.0,9919045.0
June 2017,697658.0,697658.0,467264.0,15516454.0,2861102.0,12655352.0
September 2017,606378.0,606378.0,807156.0,16469175.0,902227.0,15566948.0
December 2017,590011.0,590011.0,698867.0,17316803.0,4070329.0,13246474.0
March 2018,988803.0,988803.0,-143371.0,26905142.0,2079161.0,24825981.0
June 2018,884824.0,525809.0,-254183.0,28205951.0,985282.0,27220669.0
September 2018,572301.0,874534.0,12381.0,29210436.0,966562.0,28243874.0
December 2018,-122155.0,1169973.0,-3455512.0,24519452.0,942387.0,23577065.0
March 2019,760495.0,486061.0,373769.0,25450875.0,1649523.0,23801352.0
June 2019,680381.0,680381.0,-5631585.0,12489276.0,783716.0,11705560.0
September 2019,278171.0,278171.0,-286240.0,11844943.0,362674.0,11482269.0
December 2019,353420.0,627854.0,165419.0,11899644.0,749682.0,11149962.0
March 2020,463158.0,463158.0,-1971168.0,9868260.0,605187.0,9263073.0
June 2020,345642.0,345642.0,1101465.0,10969092.0,479770.0,10489322.0
September 2020,340712.0,340712.0,1430953.0,12426023.0,404234.0,12021789.0
December 2020,468782.0,468782.0,2718154.0,14857180.0,530559.0,14326621.0
March 2021,377990.0,377990.0,1978649.0,16906750.0,463149.0,16443601.0
June 2021,422878.0,422878.0,2152205.0,18802794.0,9801243.0,9001551.0
September 2021,660499.0,660499.0,-22771.0,19482884.0,15233243.0,4249641.0
December 2021,1363272.0,1363272.0,-1285734.0,17940758.0,17579769.0,360989.0
