,OperatingExpenses,Assets,AssetsCurrent
March 2007,611850000.0,,
June 2007,611850000.0,,
September 2007,611850000.0,,
December 2007,611850000.0,,
March 2008,590100000.0,,
June 2008,711500000.0,,
September 2008,482900000.0,,
December 2008,594300000.0,22284100000.0,8194800000.0
March 2009,581700000.0,,
June 2009,561200000.0,19998400000.0,5654400000.0
September 2009,587700000.0,19706000000.0,4820100000.0
December 2009,497400000.0,23544400000.0,7460700000.0
March 2010,396400000.0,22137100000.0,6122100000.0
June 2010,413700000.0,21709400000.0,5569700000.0
September 2010,417600000.0,19165600000.0,5514700000.0
December 2010,463400000.0,20018500000.0,6452600000.0
March 2011,438200000.0,19543600000.0,4852500000.0
June 2011,467900000.0,19713400000.0,4742100000.0
September 2011,503500000.0,20083000000.0,4840300000.0
December 2011,525300000.0,19412600000.0,4818500000.0
