,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
March 1999,654282.6086956522,-82000.0,,
June 1999,654282.6086956522,-82000.0,,
September 1999,654282.6086956522,-82000.0,,
December 1999,654282.6086956522,-82000.0,,
March 2000,654282.6086956522,-263750.0,,
June 2000,654282.6086956522,-263750.0,,
September 2000,654282.6086956522,-263750.0,,
December 2000,654282.6086956522,-263750.0,,
March 2001,654282.6086956522,-217500.0,,
June 2001,654282.6086956522,-217500.0,,
September 2001,654282.6086956522,-217500.0,,
December 2001,654282.6086956522,-217500.0,,
March 2002,654282.6086956522,-327500.0,,
June 2002,654282.6086956522,-327500.0,,
September 2002,654282.6086956522,-327500.0,,
December 2002,654282.6086956522,-327500.0,,
March 2003,654282.6086956522,-568500.0,,
June 2003,654282.6086956522,-568500.0,,
September 2003,654282.6086956522,-568500.0,,
December 2003,654282.6086956522,-568500.0,,
March 2004,654282.6086956522,-734250.0,,
June 2004,654282.6086956522,-734250.0,,
September 2004,654282.6086956522,-734250.0,,
December 2004,654282.6086956522,-734250.0,,
March 2005,654282.6086956522,-1336250.0,,
June 2005,654282.6086956522,-1336250.0,,
September 2005,654282.6086956522,-1336250.0,,
December 2005,654282.6086956522,-1336250.0,,
March 2006,654282.6086956522,-1761500.0,,
June 2006,654282.6086956522,-1761500.0,,
September 2006,654282.6086956522,-1761500.0,,
December 2006,654282.6086956522,-1761500.0,,
March 2007,654282.6086956522,-1704250.0,,
June 2007,654282.6086956522,-1704250.0,,
September 2007,654282.6086956522,-1704250.0,,
December 2007,654282.6086956522,-1704250.0,,
March 2008,654282.6086956522,-1580000.0,,
June 2008,654282.6086956522,-1580000.0,,
September 2008,654282.6086956522,-1580000.0,,
December 2008,654282.6086956522,-1580000.0,,
March 2009,654282.6086956522,-3365250.0,,
June 2009,654282.6086956522,-3365250.0,,
September 2009,654282.6086956522,-3365250.0,,
December 2009,654282.6086956522,-3365250.0,,
March 2010,1857000.0,-3497000.0,,
June 2010,1542000.0,-4472000.0,,
September 2010,654282.6086956522,-1097000.0,,
December 2010,654282.6086956522,-1097000.0,9677000.0,8536000.0
March 2011,1227000.0,-2082000.0,,
June 2011,2025000.0,-2951000.0,4963000.0,3772000.0
