,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
September 2009,4048000.0,11080750.0,,,
December 2009,4048000.0,11080750.0,,,
March 2010,4048000.0,11080750.0,,,
June 2010,4048000.0,11080750.0,,,
September 2010,4827000.0,15205000.0,,,
December 2010,5951000.0,15806000.0,,,
March 2011,7516000.0,16663000.0,,,
June 2011,6512000.0,16655000.0,437775000.0,357676000.0,80099000.0
September 2011,6638000.0,15655000.0,455673000.0,367583000.0,88090000.0
December 2011,5319000.0,-33254000.0,413242000.0,321610000.0,91632000.0
March 2012,6586000.0,-46325000.0,453155000.0,353765000.0,99390000.0
June 2012,4923000.0,7457000.0,461362000.0,360671000.0,100691000.0
September 2012,5859000.0,16019000.0,477040000.0,374728000.0,102312000.0
December 2012,5787000.0,16682000.0,471185000.0,369149000.0,102036000.0
March 2013,6801000.0,21126000.0,488530000.0,387071000.0,101459000.0
June 2013,5340000.0,15142000.0,464908000.0,364526000.0,100382000.0
September 2013,6694000.0,19197000.0,489668000.0,389385000.0,100283000.0
December 2013,6913000.0,14539000.0,504406000.0,403945000.0,100461000.0
March 2014,7352000.0,47662000.0,568094000.0,466223000.0,101871000.0
June 2014,6705000.0,10333000.0,564557000.0,464477000.0,100080000.0
September 2014,8737000.0,11036000.0,589488000.0,487045000.0,102443000.0
December 2014,10314000.0,8726000.0,601196000.0,490449000.0,110747000.0
March 2015,9670000.0,10845000.0,644944000.0,506638000.0,138306000.0
June 2015,10739000.0,13035000.0,672503000.0,527039000.0,145464000.0
September 2015,11900000.0,1603000.0,688200000.0,536443000.0,151757000.0
December 2015,13715000.0,19803000.0,723586000.0,559020000.0,164566000.0
March 2016,12299000.0,20822000.0,768530000.0,603754000.0,164776000.0
June 2016,11839000.0,19669000.0,855857000.0,673291000.0,182566000.0
September 2016,15832000.0,22766000.0,901303000.0,680451000.0,220852000.0
December 2016,17651000.0,25292000.0,945919000.0,718400000.0,227519000.0
March 2017,17086000.0,21656000.0,1004685000.0,771578000.0,233107000.0
June 2017,15057000.0,27401000.0,1033075000.0,798754000.0,234321000.0
September 2017,15678000.0,21033000.0,1044555000.0,809349000.0,235206000.0
December 2017,13157000.0,19313000.0,1037937000.0,799331000.0,238606000.0
March 2018,12418000.0,21053000.0,1054805000.0,815980000.0,238825000.0
June 2018,16559000.0,22768000.0,1088018000.0,854310000.0,233708000.0
September 2018,14437000.0,27850000.0,1147804000.0,917108000.0,230696000.0
December 2018,12727000.0,31513000.0,1175926000.0,950105000.0,225821000.0
March 2019,14132000.0,28635000.0,1210617000.0,987510000.0,223107000.0
June 2019,13771000.0,32957000.0,1255318000.0,1023835000.0,231483000.0
September 2019,16000000.0,25957000.0,1289710000.0,1051163000.0,238547000.0
December 2019,17078000.0,31231000.0,1315028000.0,1070826000.0,244202000.0
March 2020,17111000.0,28267000.0,1330261000.0,1092858000.0,237403000.0
June 2020,18185000.0,28024000.0,1381387000.0,1134856000.0,246531000.0
September 2020,16863000.0,33051000.0,1425406000.0,1180421000.0,244985000.0
December 2020,17156000.0,35384000.0,1497637000.0,1251727000.0,245910000.0
March 2021,19059000.0,37493000.0,1501830000.0,1255169000.0,246661000.0
June 2021,17489000.0,42413000.0,1616122000.0,1352507000.0,263615000.0
September 2021,20587000.0,44651000.0,1680621000.0,1388605000.0,292016000.0
December 2021,17791000.0,48879000.0,1750795000.0,1439987000.0,310808000.0
March 2022,17034000.0,50661000.0,1780139000.0,1470148000.0,309991000.0
June 2022,18529000.0,56189000.0,1835641000.0,1525171000.0,310470000.0
