,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
June 2009,-7959750.0,27578000.0,
September 2009,-7959750.0,27578000.0,
December 2009,-7959750.0,27578000.0,
March 2010,-7959750.0,27578000.0,
June 2010,-8287000.0,-37196000.0,
September 2010,-7567000.0,87447000.0,
December 2010,-6370000.0,79337000.0,
March 2011,-6367000.0,19838000.0,
June 2011,-5990000.0,-84032000.0,20561622000.0
September 2011,-6859000.0,-26761000.0,
December 2011,5635000.0,-37243000.0,19792338000.0
March 2012,-18759000.0,3309000.0,20932378000.0
June 2012,6765000.0,12641000.0,19951335000.0
September 2012,9303000.0,59382000.0,20877640000.0
December 2012,6652000.0,88423000.0,20610394000.0
March 2013,5926000.0,193313000.0,21498201000.0
June 2013,8287000.0,155548000.0,22071651000.0
September 2013,-9555000.0,24925000.0,22401497000.0
December 2013,9170000.0,28302000.0,22431364000.0
March 2014,23488000.0,-18708000.0,23107329000.0
June 2014,7746000.0,20401000.0,22232743000.0
September 2014,7709000.0,-35705000.0,22230468000.0
December 2014,7059000.0,-33979000.0,22573103000.0
March 2015,10171000.0,30251000.0,22648921000.0
June 2015,11345000.0,43325000.0,22846059000.0
September 2015,9288000.0,-24137000.0,23459800000.0
December 2015,11006000.0,-172981000.0,23850982000.0
March 2016,10114000.0,104140000.0,24393025000.0
June 2016,9435000.0,-131571000.0,24270200000.0
September 2016,9181000.0,392729000.0,24677615000.0
December 2016,9173000.0,97558000.0,25147721000.0
March 2017,10668000.0,-48810000.0,25609565000.0
June 2017,9813000.0,9133000.0,25205692000.0
September 2017,9905000.0,177573000.0,25480526000.0
December 2017,9201000.0,219415000.0,25880243000.0
March 2018,10543000.0,49065000.0,26476407000.0
June 2018,10523000.0,47965000.0,26690204000.0
September 2018,11478000.0,119260000.0,26676207000.0
December 2018,9978000.0,-70932000.0,26829758000.0
March 2019,11363000.0,-245524000.0,27410061000.0
June 2019,12387000.0,-322422000.0,27124372000.0
September 2019,12041000.0,241592000.0,27578756000.0
December 2019,12374000.0,-275564000.0,27566601000.0
March 2020,9843000.0,-228846000.0,27946182000.0
June 2020,9530000.0,144416000.0,28157605000.0
September 2020,10125000.0,160016000.0,28262621000.0
December 2020,9303000.0,377734000.0,28176102000.0
March 2021,10489000.0,129501000.0,29414988000.0
June 2021,10900000.0,-89894000.0,29638363000.0
September 2021,10715000.0,135098000.0,30091747000.0
December 2021,9898000.0,261077000.0,30015579000.0
March 2022,11810000.0,489564000.0,30483522000.0
June 2022,11741000.0,161681000.0,31251382000.0
