,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
June 2016,27.333333333333332,,-447656.3333333333,,,
September 2016,27.333333333333332,,-447656.3333333333,,,
December 2016,27.333333333333332,,-447656.3333333333,7342.0,,
March 2017,17528.0,31686.25,-17528.0,,,
June 2017,459071.0,31686.25,-459071.0,,,
September 2017,155099.0,31686.25,-155099.0,,,
December 2017,155099.0,31686.25,-155099.0,145366.0,137721.0,7645.0
March 2018,433533.0,44469.0,-425421.0,2627352.0,736095.0,1829654.0
June 2018,447601.0,-2250.0,-262538.0,4102108.0,1087323.0,2955579.0
