,NetIncomeLoss,AssetsCurrent
March 2012,-1800.0,200.0
June 2012,-1800.0,
September 2012,-1800.0,200.0
December 2012,-1368.0,32.0
March 2013,1168.0,
June 2013,-9533.0,
September 2013,-6500.0,
