,OperatingExpenses,NetIncomeLoss,Assets,AssetsCurrent
March 2011,48327000.0,13195000.0,,
June 2011,48327000.0,7502000.0,1008996000.0,307898000.0
September 2011,46746000.0,,977674000.0,278246000.0
December 2011,45190000.0,,976322000.0,285639000.0
March 2012,49548000.0,,1024004000.0,290353000.0
June 2012,51759000.0,,960570000.0,234048000.0
September 2012,49888000.0,,939618000.0,239553000.0
December 2012,44104000.0,,906920000.0,209495000.0
March 2013,45716000.0,,930758000.0,246641000.0
June 2013,48091000.0,,904599000.0,223197000.0
September 2013,45787000.0,,881615000.0,201827000.0
December 2013,49366000.0,,1024619000.0,158562000.0
March 2014,52766000.0,19750000.0,1058667000.0,191494000.0
June 2014,51830000.0,19750000.0,1060918000.0,194916000.0
September 2014,52783000.0,19750000.0,1048859000.0,190116000.0
December 2014,65419000.0,19750000.0,1327619000.0,284973000.0
March 2015,61873000.0,25000000.0,1329675000.0,298606000.0
June 2015,63000000.0,17000000.0,1326309000.0,296249000.0
September 2015,67000000.0,19000000.0,1302402000.0,281263000.0
December 2015,60658000.0,12000000.0,1279107000.0,257379000.0
March 2016,65000000.0,22000000.0,1306233000.0,282504000.0
June 2016,115000000.0,183000000.0,3133000000.0,763000000.0
September 2016,151000000.0,32000000.0,3232000000.0,854000000.0
December 2016,151000000.0,28000000.0,3304000000.0,746000000.0
March 2017,154000000.0,44000000.0,3404000000.0,885000000.0
June 2017,165000000.0,27000000.0,3438000000.0,871000000.0
September 2017,166000000.0,29000000.0,3579000000.0,1066000000.0
December 2017,166000000.0,68000000.0,3687000000.0,1200000000.0
March 2018,168000000.0,43000000.0,3770000000.0,1291000000.0
June 2018,178000000.0,27000000.0,3661000000.0,1193000000.0
