,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent
September 2011,28566.0,,-18169.0,222500.0,10000.0
December 2011,62034.0,,-37499.0,,
March 2012,72056.0,,-38858.0,251039.0,47394.0
June 2012,66791.0,,-35147.0,303856.0,105524.0
September 2012,44246.0,,-14479.0,324132.0,131113.0
December 2012,14315.0,,15082.0,351783.0,164077.0
March 2013,1386324.0,622105.0,-13685.0,270738.0,88345.0
June 2013,2032403.0,956410.0,-76090.0,277431.0,100351.0
September 2013,2529974.0,1037798.0,-82462.0,486809.0,72943.0
December 2013,3598591.0,466071.0,-8407009.0,448987.0,53404.0
March 2014,2959095.0,565901.0,-4063031.0,25868351.0,11498923.0
June 2014,2639891.0,1032681.0,-2758868.0,23052552.0,8286524.0
September 2014,3108360.0,1905234.0,-3182215.0,19317805.0,5358028.0
December 2014,4217420.0,2820080.0,-4302990.0,16316146.0,2777413.0
March 2015,1970309.0,1035083.0,-2431229.0,14041475.0,1171375.0
June 2015,,555740.0,-1125158.0,13269724.0,498343.0
September 2015,,816318.0,-5323699.0,14253845.0,1507284.0
December 2015,,1026875.0,-3627385.0,16908388.0,4190554.0
March 2016,,429281.0,-3571635.0,18360078.0,5652699.0
June 2016,,2205213.0,-47771162.0,13160711.0,478495.0
September 2016,,891828.0,-2471981.0,13866047.0,1209091.0
December 2016,,40211492.0,-391328.0,20973865.0,8338650.0
March 2017,,1221144.0,-2865621.0,18831518.0,6210044.0
June 2017,,873837.0,-2918930.0,16438469.0,3830972.0
September 2017,,884797.0,-2255900.0,14639645.0,2049014.0
December 2017,,1080222.0,4445319.0,19163643.0,5884577.0
March 2018,1819081.75,706271.0,-1822518.0,17543005.0,4276210.0
June 2018,1819081.75,927069.0,-2026176.0,17257178.0,4000197.0
September 2018,1819081.75,735879.0,-1812536.0,15533702.0,2289109.0
December 2018,1819081.75,514733.0,-1639228.0,14431094.0,1193971.0
March 2019,1327155.0,463782.0,-1327250.0,16456192.0,3201401.0
June 2019,1378298.0,487519.0,-1377400.0,15633194.0,2388753.0
September 2019,8946522.0,3520638.0,-8900128.0,22875119.0,12921288.0
December 2019,1251920.0,417401.0,-1170247.0,21546926.0,11089999.0
March 2020,1287531.0,359651.0,-1179429.0,20625239.0,10677514.0
June 2020,1095386.0,307900.0,-953642.0,19063358.0,9115799.0
September 2020,10620338.0,573061.0,-7560370.0,8696414.0,7991983.0
December 2020,1371350.0,490794.0,-1200025.0,13179495.0,12369510.0
March 2021,1560307.0,629729.0,-1345945.0,11761622.0,11036113.0
June 2021,1415254.0,524550.0,-1106678.0,10915278.0,10199380.0
September 2021,1725268.0,780153.0,-1350876.0,21285402.0,20580972.0
December 2021,2206628.0,1229053.0,-1841680.0,19815360.0,18723429.0
March 2022,2008708.0,1101399.0,-1593611.0,17983509.0,16888707.0
June 2022,3103789.0,2077499.0,-2672190.0,16468104.0,15376173.0
