,OperatingExpenses,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets
March 2019,42191000.0,4694250.0,-116500.0,
June 2019,42191000.0,4694250.0,-116500.0,
September 2019,42191000.0,4694250.0,-116500.0,
December 2019,42191000.0,4694250.0,-116500.0,
March 2020,63441000.0,7018000.0,1480000.0,
June 2020,28741000.0,7667000.0,-6193000.0,
September 2020,53152000.0,9966000.0,9669000.0,
December 2020,76317000.0,14151000.0,1027000.0,477255000.0
March 2021,105771000.0,18988000.0,10102000.0,488588000.0
June 2021,157652000.0,31431000.0,37284000.0,904583000.0
September 2021,199851000.0,37085000.0,29113000.0,1606130000.0
December 2021,244434000.0,46495000.0,58944000.0,1820455000.0
March 2022,275303000.0,49991000.0,32692000.0,1987591000.0
June 2022,260269000.0,57045000.0,-29871000.0,1917018000.0
