,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
March 2008,-1349000000.0,,,
June 2008,-1349000000.0,,,
September 2008,-1349000000.0,,,
December 2008,-1349000000.0,,,
March 2009,-382000000.0,,,
June 2009,28000000.0,,,
September 2009,-57000000.0,,,
December 2009,-240000000.0,18684000000.0,5105000000.0,
March 2010,-82000000.0,,,
June 2010,273000000.0,20134000000.0,6983000000.0,
September 2010,387000000.0,20055000000.0,7070000000.0,
December 2010,-325000000.0,39598000000.0,12045000000.0,10608000000.0
March 2011,-213000000.0,40552000000.0,13148000000.0,
June 2011,538000000.0,39694000000.0,12391000000.0,10613000000.0
September 2011,653000000.0,39054000000.0,11986000000.0,10519000000.0
December 2011,-138000000.0,37988000000.0,10997000000.0,10572000000.0
March 2012,-448000000.0,38199000000.0,11261000000.0,10494000000.0
June 2012,339000000.0,38694000000.0,11708000000.0,
September 2012,6000000.0,37905000000.0,10774000000.0,
December 2012,-620000000.0,37628000000.0,10049000000.0,
March 2013,-417000000.0,36842000000.0,9148000000.0,
June 2013,469000000.0,37468000000.0,9621000000.0,
September 2013,379000000.0,37260000000.0,9389000000.0,
December 2013,140000000.0,36812000000.0,8702000000.0,
March 2014,-609000000.0,37185000000.0,8788000000.0,
June 2014,789000000.0,38447000000.0,9619000000.0,
September 2014,924000000.0,38011000000.0,9225000000.0,
December 2014,28000000.0,37353000000.0,8138000000.0,
March 2015,508000000.0,39091000000.0,9509000000.0,
June 2015,1193000000.0,39367000000.0,8793000000.0,
September 2015,4816000000.0,41869000000.0,10097000000.0,
December 2015,823000000.0,40861000000.0,7828000000.0,
March 2016,313000000.0,40373000000.0,7224000000.0,
June 2016,588000000.0,40476000000.0,7844000000.0,
September 2016,965000000.0,40327000000.0,7970000000.0,
December 2016,397000000.0,40140000000.0,7309000000.0,
March 2017,96000000.0,41445000000.0,7724000000.0,
June 2017,818000000.0,42307000000.0,8248000000.0,
September 2017,637000000.0,42565000000.0,7877000000.0,
December 2017,580000000.0,42326000000.0,7113000000.0,
March 2018,145000000.0,44018000000.0,8287000000.0,
June 2018,683000000.0,44691000000.0,8881000000.0,
September 2018,836000000.0,44837000000.0,8671000000.0,
December 2018,461000000.0,49024000000.0,7094000000.0,
March 2019,292000000.0,50639000000.0,7608000000.0,
June 2019,1052000000.0,52150000000.0,8910000000.0,
September 2019,1024000000.0,52199000000.0,8533000000.0,
December 2019,641000000.0,52611000000.0,8194000000.0,
March 2020,-1704000000.0,53055000000.0,7905000000.0,
June 2020,-1627000000.0,54901000000.0,10041000000.0,
September 2020,-1841000000.0,61189000000.0,16476000000.0,
December 2020,-1897000000.0,59548000000.0,14800000000.0,
March 2021,-1357000000.0,61662000000.0,16019000000.0,
June 2021,-434000000.0,71049000000.0,24673000000.0,
September 2021,473000000.0,69294000000.0,23057000000.0,
December 2021,-646000000.0,68175000000.0,21834000000.0,
March 2022,-1377000000.0,69038000000.0,22612000000.0,
June 2022,329000000.0,70381000000.0,24371000000.0,
