,OperatingExpenses,NetIncomeLoss,Assets
March 2009,35591750.0,-20219250.0,
June 2009,35591750.0,-20219250.0,
September 2009,35591750.0,-20219250.0,
December 2009,35591750.0,-20219250.0,
March 2010,43054500.0,-797000.0,
June 2010,43054500.0,-797000.0,
September 2010,59513000.0,-5815000.0,
December 2010,75354000.0,-2505000.0,1947181000.0
March 2011,68121000.0,7369000.0,
June 2011,68402000.0,1726000.0,
September 2011,83194000.0,-3100000.0,2004325000.0
December 2011,86466000.0,14892000.0,1787931000.0
March 2012,96577000.0,32058000.0,2178762000.0
