,ResearchAndDevelopmentExpense,NetIncomeLoss,Assets,AssetsCurrent,AssetsNoncurrent
September 2012,178773500.0,877112750.0,,,
December 2012,178773500.0,877112750.0,,,
March 2013,178773500.0,877112750.0,,,
June 2013,178773500.0,877112750.0,,,
September 2013,159878250.0,799201000.0,,,
December 2013,159878250.0,712635000.0,,,
March 2014,159878250.0,867046000.0,,,
June 2014,159878250.0,743139000.0,,,
September 2014,156385250.0,880380000.0,17930452000.0,11904442000.0,6026010000.0
December 2014,156385250.0,730356000.0,,,
March 2015,156385250.0,838449000.0,,,
June 2015,156385250.0,777179000.0,,,
September 2015,160851750.0,856938000.0,18202647000.0,10700074000.0,7502573000.0
December 2015,160851750.0,1387417000.0,17993875000.0,10623048000.0,7370827000.0
March 2016,160851750.0,938140000.0,18147778000.0,10678800000.0,7468978000.0
June 2016,160851750.0,1117267000.0,19191047000.0,11576011000.0,7615036000.0
September 2016,176079250.0,1049177000.0,20609004000.0,11976222000.0,8632782000.0
December 2016,176079250.0,875371000.0,20443741000.0,11368406000.0,9075335000.0
March 2017,176079250.0,691429000.0,20078773000.0,10764002000.0,9314771000.0
June 2017,176079250.0,972652000.0,21135592000.0,11205735000.0,9929857000.0
September 2017,,1171004000.0,22689890000.0,12097289000.0,10592601000.0
