,OperatingExpenses,ResearchAndDevelopmentExpense,Assets,AssetsCurrent
March 2009,21103000.0,15153000.0,,
June 2009,21103000.0,15153000.0,,
September 2009,21103000.0,15153000.0,,
December 2009,21103000.0,15153000.0,,
March 2010,19730000.0,12255000.0,,
June 2010,17737000.0,11778000.0,,
September 2010,19813000.0,12488000.0,,
December 2010,23027000.0,15191000.0,227569000.0,214302000.0
March 2011,21253000.0,12943000.0,,
June 2011,23373000.0,14168000.0,351657000.0,336449000.0
September 2011,27787000.0,16307000.0,417916000.0,398267000.0
December 2011,30954000.0,21239000.0,420909000.0,399421000.0
March 2012,29517000.0,18562000.0,454466000.0,426318000.0
June 2012,32364000.0,20011000.0,445501000.0,413051000.0
September 2012,31232000.0,20233000.0,422599000.0,371906000.0
December 2012,30914000.0,21539000.0,406629000.0,357167000.0
March 2013,32048000.0,22332000.0,382688000.0,334471000.0
June 2013,33510000.0,21994000.0,357759000.0,309068000.0
September 2013,36412000.0,27435000.0,344207000.0,293022000.0
December 2013,43086000.0,32238000.0,316815000.0,265591000.0
March 2014,38409000.0,26692000.0,290696000.0,239097000.0
June 2014,37308000.0,26089000.0,267688000.0,215913000.0
September 2014,38611000.0,27508000.0,241535000.0,190863000.0
December 2014,37318000.0,26193000.0,256216000.0,205330000.0
March 2015,30639000.0,22749000.0,259754000.0,210683000.0
June 2015,47312000.0,33983000.0,463577000.0,415824000.0
September 2015,44192000.0,31733000.0,438206000.0,391227000.0
December 2015,51941000.0,37568000.0,421040000.0,374708000.0
March 2016,44404000.0,28757000.0,435423000.0,371937000.0
June 2016,48069000.0,33173000.0,425753000.0,376863000.0
September 2016,47326000.0,31568000.0,409110000.0,359526000.0
December 2016,44547000.0,26382000.0,477737000.0,428000000.0
March 2017,59206000.0,36101000.0,519414000.0,469478000.0
June 2017,61635000.0,39063000.0,540806000.0,481627000.0
September 2017,58617000.0,37914000.0,502542000.0,442489000.0
December 2017,51975000.0,36148000.0,459431000.0,366926000.0
March 2018,53854000.0,33242000.0,416944000.0,338301000.0
June 2018,83871000.0,31340000.0,395460000.0,328450000.0
September 2018,66699000.0,30727000.0,353284000.0,294174000.0
December 2018,52492000.0,28695000.0,531563000.0,441423000.0
March 2019,52204000.0,27972000.0,558450000.0,346283000.0
June 2019,121808000.0,32131000.0,479686000.0,317095000.0
September 2019,52485000.0,46105000.0,397768000.0,286144000.0
December 2019,95462000.0,38334000.0,618365000.0,539127000.0
March 2020,49557000.0,34207000.0,568746000.0,490353000.0
June 2020,63988000.0,38842000.0,523279000.0,457371000.0
