,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets,AssetsCurrent
March 2010,393678.75,,,-228916.25,,
June 2010,393678.75,,,-228916.25,,
September 2010,393678.75,,,-228916.25,,
December 2010,393678.75,,,-228916.25,,
March 2011,393678.75,,,-491123.5,,
June 2011,393678.75,,,-491123.5,,
September 2011,393678.75,,,-491123.5,,
December 2011,393678.75,,,-491123.5,,
March 2012,393678.75,,,-460996.5,,
June 2012,393678.75,,,-460996.5,,
September 2012,393678.75,,,-460996.5,,
December 2012,393678.75,,,-460996.5,,
March 2013,406588.0,,,-406588.0,,
June 2013,363186.0,,,-363186.0,,
September 2013,990979.0,,,-990979.0,,
December 2013,2252867.0,,,-2252867.0,4030065.0,3907239.0
March 2014,2543839.0,,,-2543839.0,36282101.0,36282101.0
June 2014,3920484.0,,,-3920113.0,32857990.0,32808605.0
September 2014,3843154.0,,,-3843154.0,30075343.0,30025958.0
December 2014,3273507.0,,,-3273878.0,27209838.0,27160453.0
March 2015,4187233.0,,,-4187233.0,24182225.0,24132840.0
June 2015,4034523.0,,,-4031908.0,40960139.0,40910754.0
September 2015,5028676.0,,,-5019317.0,36377922.0,36328537.0
December 2015,5514331.0,,,-5504248.0,32407845.0,32358460.0
March 2016,5830874.0,39960.0,,-5816632.0,27352166.0,27259249.0
June 2016,5423143.0,13081.0,,-1468127.0,22834170.0,22777540.0
September 2016,4644259.0,12496.0,,-4631430.0,19060672.0,19004042.0
December 2016,5469622.0,13119.0,,7010911.0,17090873.0,17034243.0
March 2017,1567017.0,128339.0,,-1426967.0,14590474.0,12533844.0
June 2017,4650954.0,626296.0,,-2236107.0,31807753.0,26876115.0
September 2017,3979545.0,958255.0,,-3799500.0,36771980.0,31455531.0
December 2017,6428983.0,2444564.0,,-7884157.0,28848573.0,25689962.0
March 2018,3319036.0,1079036.0,,4978592.0,25246570.0,21935898.0
June 2018,2564832.0,734246.0,,-3603404.0,22862351.0,19217021.0
September 2018,3019303.0,1219144.0,,-3425073.0,20718294.0,17139589.0
December 2018,2811094.0,890239.0,,2946365.0,18388376.0,14865410.0
March 2019,3236864.0,992704.0,,-10858751.0,28891737.0,24772824.0
June 2019,4032084.0,1598884.0,,-9347296.0,25784787.0,21716917.0
September 2019,3717343.0,1214029.0,,1703722.0,22986740.0,18759850.0
December 2019,3781466.0,935513.0,,-2000070.0,18502746.0,14283255.0
March 2020,3007165.0,513914.0,2493251.0,1496086.0,13701309.0,9581209.0
June 2020,3602045.0,1394881.0,2207164.0,-5598964.0,17777017.0,13764123.0
September 2020,3188339.0,1207302.0,1981037.0,-3126492.0,13350837.0,9617706.0
December 2020,3691993.0,1222877.0,2468548.0,-7981284.0,26616599.0,22985501.0
March 2021,3595832.0,959503.0,2636000.0,-11540000.0,88320915.0,84867400.0
June 2021,6480477.0,982730.0,5497747.0,-16504366.0,85308529.0,82012964.0
September 2021,12565209.0,1551988.0,11013221.0,-21642492.0,91836045.0,88614208.0
December 2021,21551482.0,687779.0,20864032.0,3561858.0,76642000.0,73476000.0
March 2022,19110000.0,654000.0,18456000.0,-10785000.0,60858000.0,57748000.0
June 2022,14201000.0,556000.0,13645000.0,-11858000.0,44540000.0,41479000.0
