,OperatingExpenses,Assets,AssetsCurrent
December 2005,2549948.705882353,,
March 2006,2549948.705882353,,
June 2006,2549948.705882353,,
September 2006,2549948.705882353,,
December 2006,2549948.705882353,,
March 2007,2549948.705882353,,
June 2007,2549948.705882353,,
September 2007,2549948.705882353,,
December 2007,2549948.705882353,,
March 2008,2549948.705882353,,
June 2008,2549948.705882353,,
September 2008,2549948.705882353,,
December 2008,2549948.705882353,,
March 2009,2549948.705882353,,
June 2009,2549948.705882353,,
September 2009,2549948.705882353,,
December 2009,2549948.705882353,,
March 2010,1624880.0,,
June 2010,1789931.0,,
September 2010,2125925.0,,
December 2010,-12154707.0,1383572.0,1085213.0
March 2011,527906.0,,
June 2011,732756.0,710873.0,466108.0
September 2011,1288950.0,106523.0,28077.0
December 2011,-6578991.0,34955.0,24955.0
March 2012,323942.0,0.0,0.0
