,OperatingExpenses,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2009,105750250.0,9056500.0,24806000.0,,
June 2009,105750250.0,9056500.0,24806000.0,,
September 2009,105750250.0,9056500.0,24806000.0,,
December 2009,105750250.0,9056500.0,24806000.0,,
March 2010,121798000.0,9447000.0,26329000.0,,
June 2010,119304000.0,9106000.0,23215000.0,,
September 2010,116756000.0,9172000.0,22504000.0,,
December 2010,123085000.0,10289000.0,23474000.0,644740000.0,158053000.0
March 2011,123577000.0,10649000.0,23844000.0,,
June 2011,130707000.0,11692000.0,25409000.0,616357000.0,147906000.0
September 2011,130330000.0,11657000.0,26241000.0,600446000.0,142969000.0
December 2011,122166000.0,9688000.0,27781000.0,601768000.0,146670000.0
March 2012,130733000.0,10987000.0,25426000.0,599897000.0,152657000.0
June 2012,130000000.0,10937000.0,24401000.0,580264000.0,144796000.0
September 2012,130546000.0,12265000.0,25699000.0,590823000.0,161269000.0
