,ResearchAndDevelopmentExpense,SellingGeneralAndAdministrativeExpense,Assets,AssetsCurrent
March 2008,323602750.0,332845500.0,,
June 2008,323602750.0,332845500.0,,
September 2008,323602750.0,331170000.0,,
December 2008,323602750.0,341329000.0,8671276000.0,2516135000.0
March 2009,196505000.0,317961000.0,,
June 2009,196505000.0,354128000.0,,
September 2009,215925000.0,367347000.0,9970288000.0,2796548000.0
December 2009,224918000.0,389160000.0,10060724000.0,2802803000.0
March 2010,219068000.0,553310000.0,9854795000.0,2810036000.0
June 2010,219068000.0,312725000.0,,
September 2010,207051000.0,337883000.0,10419121000.0,3090855000.0
December 2010,202097000.0,350003000.0,10913854000.0,3700958000.0
