,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2018,0.0,25000.0,-24930.0,200070.0
June 2018,0.0,88233.0,-88072.0,200231.0
September 2018,0.0,80575.0,-80052.0,235164.0
December 2018,,176062.0,-174841.0,183454.0
March 2019,0.0,,-170435.0,131378.0
June 2019,480372.0,,-1044763.0,87351642.0
September 2019,956906.0,,-1442451.0,207603275.0
December 2019,,,-2065229.0,313485992.0
March 2020,2016602.0,,-2886445.0,372192794.0
June 2020,,,680344.0,380132433.0
September 2020,,,301066.0,387605593.0
December 2020,,,-532816.0,440873609.0
March 2021,,,-1247298.0,445312943.0
June 2021,,,-1259789.0,447599188.0
September 2021,,,-3784109.0,515725670.0
December 2021,,,8797297.0,1374713439.0
March 2022,,,-1487981.0,1685261240.0
June 2022,,,-8146765.0,2050710742.0
