,OperatingExpenses,SellingGeneralAndAdministrativeExpense,NetIncomeLoss,Assets
March 2009,43894750.0,6272500.0,-24199250.0,
June 2009,43894750.0,6272500.0,-24199250.0,
September 2009,43894750.0,6272500.0,-24199250.0,
December 2009,43894750.0,6272500.0,-24199250.0,
March 2010,45209000.0,6516000.0,-22242000.0,
June 2010,46519000.0,8382000.0,-22586000.0,
September 2010,53547000.0,8516000.0,-15917000.0,
December 2010,62245000.0,8417000.0,-2672000.0,491009000.0
March 2011,49995000.0,7565000.0,511000.0,
June 2011,31210000.0,7925000.0,-5026000.0,588224000.0
September 2011,41702000.0,7637000.0,-5111000.0,454620000.0
December 2011,51805000.0,8522000.0,11842000.0,500330000.0
March 2012,47573000.0,8092000.0,14706000.0,518331000.0
June 2012,37693000.0,7705000.0,1270000.0,500205000.0
September 2012,42652000.0,4845000.0,1129000.0,502078000.0
December 2012,41388000.0,8446000.0,19945000.0,550744000.0
March 2013,36764000.0,7387000.0,1738000.0,510585000.0
June 2013,34146000.0,6254000.0,6368000.0,493390000.0
September 2013,38185000.0,5912000.0,237000.0,503816000.0
December 2013,38949000.0,6418000.0,105338000.0,595513000.0
March 2014,45409000.0,7425000.0,1892000.0,582583000.0
June 2014,36791000.0,6893000.0,2575000.0,580971000.0
September 2014,25519000.0,7181000.0,4486000.0,577157000.0
December 2014,43407000.0,8300000.0,725000.0,579756000.0
March 2015,29494000.0,6314000.0,-7646000.0,559131000.0
June 2015,25977000.0,5543000.0,-2276000.0,558116000.0
September 2015,29957000.0,5293000.0,-4055000.0,534368000.0
December 2015,17874000.0,5034000.0,-96013000.0,421487000.0
March 2016,21082000.0,5959000.0,-13864000.0,415610000.0
June 2016,29484000.0,4668000.0,-9235000.0,401410000.0
September 2016,24341000.0,5386000.0,-5443000.0,390572000.0
December 2016,24366000.0,8106000.0,4118000.0,385171000.0
March 2017,27919000.0,5646000.0,-13379000.0,382359000.0
June 2017,27007000.0,5005000.0,-9636000.0,361649000.0
September 2017,22794000.0,5049000.0,-6344000.0,370019000.0
December 2017,20149000.0,4591000.0,-2122000.0,364048000.0
March 2018,16035000.0,5707000.0,-1903000.0,353925000.0
June 2018,17472000.0,4807000.0,-9811000.0,339836000.0
September 2018,20992000.0,10855000.0,-4720000.0,343582000.0
