,OperatingExpenses,NetIncomeLoss
March 2010,5029.0,-5029.0
June 2010,1085.0,-1085.0
September 2010,3472.0,-3472.0
December 2010,0.0,0.0
March 2011,1556.0,-1556.0
June 2011,610.0,-610.0
September 2011,1300.0,-1300.0
December 2011,3573.0,-3573.0
